data;
param day_end := 10;
param min_rental_duration := 3;
param num_customers := 8;
param num_vans := 2;
param num_trucks := 1;

param van_capacity := 10;
param truck_capacity := 25;

param van_rental_cost := 12;
param truck_rental_cost := 15;

param mileage_cost := 0.25;

param van_speed := 30;
param truck_speed := 20;

param service_time := 10;

param due_times :=
			1 180
			2 390
			3 510
			4 510
			5 300
			6 570
			7 390
			8 480;


param distance :=
			0	1	65
			0	2	60
			0	3	71
			0	4	73
			0	5	56
			0	6	47
			0	7	59
			0	8	88
			1	2	5
			1	3	10
			1	4	18
			1	5	13
			1	6	40
			1	7	8
			1	8	23
			2	3	13
			2	4	21
			2	5	10
			2	6	37
			2	7	5
			2	8	28
			3	4	8
			3	5	23
			3	6	50
			3	7	18
			3	8	17
			4	5	31
			4	6	58
			4	7	26
			4	8	15
			5	6	27
			5	7	5
			5	8	32
			6	7	32
			6	8	53
			7	8	29;
