data;
param day_end := 10;
param min_rental_duration := 3;
param num_customers := 10;
param num_vans := 2;
param num_trucks := 1;

param van_capacity := 10;
param truck_capacity := 25;

param van_rental_cost := 12;
param truck_rental_cost := 15;

param mileage_cost := 0.25;

param van_speed := 30;
param truck_speed := 20;

param service_time := 10;

param due_times :=
			1 150
			2 390
			3 270
			4 180
			5 270
			6 360
			7 510
			8 210
			9 570
			10 390;


param distance :=
			0	1	53
			0	2	44
			0	3	43
			0	4	44
			0	5	70
			0	6	31
			0	7	27
			0	8	21
			0	9	45
			0	10	25
			1	2	27
			1	3	34
			1	4	17
			1	5	17
			1	6	22
			1	7	26
			1	8	32
			1	9	8
			1	10	28
			2	3	7
			2	4	10
			2	5	26
			2	6	21
			2	7	33
			2	8	25
			2	9	35
			2	10	19
			3	4	17
			3	5	27
			3	6	28
			3	7	40
			3	8	32
			3	9	42
			3	10	26
			4	5	26
			4	6	13
			4	7	23
			4	8	23
			4	9	25
			4	10	19
			5	6	39
			5	7	43
			5	8	49
			5	9	25
			5	10	45
			6	7	12
			6	8	10
			6	9	14
			6	10	6
			7	8	8
			7	9	18
			7	10	14
			8	9	24
			8	10	6
			9	10	20;
