data;
param day_end := 10;
param min_rental_duration := 3;
param num_customers := 12;
param num_vans := 2;
param num_trucks := 1;

param van_capacity := 10;
param truck_capacity := 25;

param van_rental_cost := 12;
param truck_rental_cost := 15;

param mileage_cost := 0.25;

param van_speed := 30;
param truck_speed := 20;

param service_time := 10;

param due_times :=
			1 540
			2 240
			3 510
			4 360
			5 240
			6 510
			7 450
			8 540
			9 240
			10 180
			11 300
			12 180;


param distance :=
			0	1	71
			0	2	56
			0	3	70
			0	4	78
			0	5	66
			0	6	44
			0	7	83
			0	34	53
			0	35	65
			0	8	86
			0	9	55
			0	10	66
			0	11	50
			0	12	58
			1	2	49
			1	3	11
			1	4	27
			1	5	11
			1	6	47
			1	7	22
			1	8	15
			1	9	16
			1	10	9
			1	11	23
			1	12	47
			2	3	38
			2	4	22
			2	5	60
			2	6	12
			2	7	27
			2	8	44
			2	9	63
			2	10	40
			2	11	72
			2	12	2
			3	4	16
			3	5	22
			3	6	36
			3	7	13
			3	8	16
			3	9	25
			3	10	4
			3	11	34
			3	12	36
			4	5	38
			4	6	34
			4	7	5
			4	8	22
			4	9	41
			4	10	18
			4	11	50
			4	12	20
			5	6	58
			5	7	33
			5	8	20
			5	9	11
			5	10	20
			5	11	16
			5	12	58
			6	7	39
			6	8	42
			6	9	61
			6	10	38
			6	11	70
			6	12	14
			7	8	17
			7	9	36
			7	10	17
			7	11	45
			7	12	25
			8	9	31
			8	10	20
			8	11	36
			8	12	42
			9	10	23
			9	11	9
			9	12	61
			10	11	32
			10	12	38
			11	12	70;
