data;
param day_end := 10;
param min_rental_duration := 3;
param num_customers := 10;
param num_vans := 2;
param num_trucks := 1;

param van_capacity := 10;
param truck_capacity := 25;

param van_rental_cost := 12;
param truck_rental_cost := 15;

param mileage_cost := 0.25;

param van_speed := 30;
param truck_speed := 20;

param service_time := 10;

param due_times :=
			1 150
			2 240
			3 390
			4 270
			5 270
			6 540
			7 570
			8 390
			9 180
			10 300;


param distance :=
			0	1	53
			0	2	64
			0	3	46
			0	4	70
			0	5	65
			0	6	86
			0	7	45
			0	8	72
			0	9	50
			0	10	50
			1	2	77
			1	3	65
			1	4	17
			1	5	48
			1	6	99
			1	7	8
			1	8	59
			1	9	69
			1	10	101
			2	3	18
			2	4	94
			2	5	99
			2	6	150
			2	7	69
			2	8	20
			2	9	14
			2	10	114
			3	4	82
			3	5	81
			3	6	132
			3	7	57
			3	8	26
			3	9	4
			3	10	96
			4	5	41
			4	6	92
			4	7	25
			4	8	74
			4	9	86
			4	10	118
			5	6	85
			5	7	56
			5	8	107
			5	9	85
			5	10	113
			6	7	107
			6	8	158
			6	9	136
			6	10	36
			7	8	51
			7	9	61
			7	10	93
			8	9	22
			8	10	122
			9	10	100;
