data;
param day_end := 10;
param min_rental_duration := 3;
param num_customers := 10;
param num_vans := 2;
param num_trucks := 1;

param van_capacity := 10;
param truck_capacity := 25;

param van_rental_cost := 12;
param truck_rental_cost := 15;

param mileage_cost := 0.25;

param van_speed := 30;
param truck_speed := 20;

param service_time := 10;

param due_times :=
			1 330
			2 480
			3 390
			4 240
			5 240
			6 480
			7 540
			8 150
			9 390
			10 210;


param distance :=
			0	1	77
			0	2	54
			0	3	39
			0	4	71
			0	5	89
			0	6	61
			0	7	78
			0	8	51
			0	9	55
			0	10	55
			1	2	23
			1	3	38
			1	4	54
			1	5	12
			1	6	16
			1	7	1
			1	8	26
			1	9	22
			1	10	28
			2	3	15
			2	4	35
			2	5	35
			2	6	7
			2	7	24
			2	8	5
			2	9	3
			2	10	19
			3	4	44
			3	5	50
			3	6	22
			3	7	39
			3	8	12
			3	9	16
			3	10	28
			4	5	66
			4	6	38
			4	7	55
			4	8	40
			4	9	38
			4	10	26
			5	6	28
			5	7	11
			5	8	38
			5	9	34
			5	10	40
			6	7	17
			6	8	10
			6	9	6
			6	10	22
			7	8	27
			7	9	23
			7	10	29
			8	9	4
			8	10	24
			9	10	22;
