data;
param day_end := 10;
param min_rental_duration := 3;
param num_customers := 10;
param num_vans := 2;
param num_trucks := 1;

param van_capacity := 10;
param truck_capacity := 25;

param van_rental_cost := 12;
param truck_rental_cost := 15;

param mileage_cost := 0.25;

param van_speed := 30;
param truck_speed := 20;

param service_time := 10;

param due_times :=
			1 150
			2 570
			3 420
			4 60
			5 60
			6 450
			7 450
			8 540
			9 450
			10 90;


param distance :=
			0	1	37
			0	2	16
			0	3	20
			0	4	24
			0	5	20
			0	6	20
			0	7	11
			0	8	20
			0	9	18
			0	10	16
			1	2	21
			1	3	17
			1	4	31
			1	5	57
			1	6	21
			1	7	48
			1	8	57
			1	9	19
			1	10	39
			2	3	14
			2	4	20
			2	5	36
			2	6	16
			2	7	27
			2	8	36
			2	9	2
			2	10	18
			3	4	14
			3	5	40
			3	6	4
			3	7	31
			3	8	40
			3	9	12
			3	10	22
			4	5	26
			4	6	10
			4	7	25
			4	8	28
			4	9	18
			4	10	8
			5	6	36
			5	7	9
			5	8	6
			5	9	38
			5	10	18
			6	7	27
			6	8	36
			6	9	14
			6	10	18
			7	8	9
			7	9	29
			7	10	17
			8	9	38
			8	10	20
			9	10	20;
